t,mkt implied vol,strike,mkt price 
1,0.0596,0.0646,0.0408
2,0.0982,0.0656,0.0456
3,0.0932,0.0658,0.0449
4,0.1087,0.0660,0.0464
5,0.0918,0.0659,0.0447
6,0.0919,0.0659,0.0447
7,0.0919,0.0659,0.0447
8,0.0779,0.0660,0.0394
9,0.0690,0.0661,0.0381
10,0.0619,0.0662,0.0371
11,0.1177,0.0663,0.0432
12,0.0991,0.0661,0.0417
13,0.0991,0.0661,0.0417
14,0.0991,0.0661,0.0417
15,0.1102,0.0663,0.0413
16,0.1124,0.0662,0.0416
17,0.1402,0.0664,0.0436
18,0.1345,0.0664,0.0432
19,0.1266,0.0666,0.0425
20,0.1273,0.0664,0.0427