t,S_t,strike,mkt implied vol 
1,0.04030834,0.0646,0.0408
2,0.03996171,0.0656,0.0456
3,0.04006261,0.0658,0.0449
4,0.03980648,0.0660,0.0464
5,0.03964108,0.0659,0.0447
6,0.04015718,0.0659,0.0447
7,0.04019654,0.0659,0.0447
8,0.04001435,0.0660,0.0394
9,0.04038245,0.0661,0.0381
10,0.04073048,0.0662,0.0371
11,0.04116666,0.0663,0.0432
12,0.04107025,0.0661,0.0417
13,0.04021738,0.0661,0.0417
14,0.04059353,0.0661,0.0417
15,0.04044579,0.0663,0.0413
16,0.0410052,0.0662,0.0416
17,0.04074663,0.0664,0.0436
18,0.04167223,0.0664,0.0432
19,0.04169323,0.0666,0.0425
20,0.04148521,0.0664,0.0427